"COD_MUN_IBGE","SIGLA_PARTIDO","DESCRICAO_SEXO","DESCRICAO_GRAU_INSTRUCAO"
"270644","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270680","PRB","MASCULINO","SUPERIOR COMPLETO"
"270400","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270100","PMDB","MASCULINO","SUPERIOR INCOMPLETO"
"160053","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"270030","PSDB","MASCULINO","SUPERIOR COMPLETO"
"270360","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270890","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270642","PP","MASCULINO","SUPERIOR COMPLETO"
"270280","PP","FEMININO","ENSINO MÉDIO COMPLETO"
"160070","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270130","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270920","PSDB","MASCULINO","SUPERIOR COMPLETO"
"270270","PMDB","FEMININO","SUPERIOR COMPLETO"
"270020","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"270300","PT do B","MASCULINO","SUPERIOR INCOMPLETO"
"160055","PR","FEMININO","ENSINO MÉDIO COMPLETO"
"160025","PMDB","MASCULINO","SUPERIOR COMPLETO"
"160040","PPL","MASCULINO","SUPERIOR COMPLETO"
"270700","PSB","MASCULINO","SUPERIOR COMPLETO"
"270060","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270235","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270510","PSD","MASCULINO","SUPERIOR COMPLETO"
"270560","PSDB","FEMININO","ENSINO MÉDIO COMPLETO"
"270860","DEM","MASCULINO","SUPERIOR COMPLETO"
"270810","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270450","PP","MASCULINO","SUPERIOR COMPLETO"
"270900","PSD","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"270160","DEM","MASCULINO","SUPERIOR INCOMPLETO"
"160015","PMDB","FEMININO","SUPERIOR COMPLETO"
"160005","PT do B","MASCULINO","ENSINO MÉDIO COMPLETO"
"270135","PMDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"270830","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270640","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270710","PP","FEMININO","SUPERIOR COMPLETO"
"270540","PR","MASCULINO","SUPERIOR INCOMPLETO"
"270500","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"270250","PRP","MASCULINO","SUPERIOR COMPLETO"
"270255","PP","MASCULINO","SUPERIOR COMPLETO"
"270330","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"270895","PMDB","FEMININO","SUPERIOR COMPLETO"
"270090","PRP","MASCULINO","SUPERIOR COMPLETO"
"270180","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270910","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"270230","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270375","PRB","FEMININO","SUPERIOR COMPLETO"
"270610","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270840","PSB","MASCULINO","ENSINO MÉDIO COMPLETO"
"160023","PEN","MASCULINO","SUPERIOR COMPLETO"
"270630","PSB","MASCULINO","SUPERIOR COMPLETO"
"270470","PSD","MASCULINO","SUPERIOR INCOMPLETO"
"160027","PRB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270750","PSDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"270550","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270290","PTB","MASCULINO","SUPERIOR COMPLETO"
"270520","PSDB","MASCULINO","SUPERIOR COMPLETO"
"270340","PSB","MASCULINO","SUPERIOR COMPLETO"
"270040","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270915","PSDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"270820","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270720","PMDB","FEMININO","ENSINO MÉDIO COMPLETO"
"270430","PSDB","MASCULINO","SUPERIOR COMPLETO"
"270740","PSDB","MASCULINO","SUPERIOR COMPLETO"
"270070","PMDB","FEMININO","SUPERIOR COMPLETO"
"270730","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270590","PSDB","MASCULINO","SUPERIOR COMPLETO"
"270370","PSB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270080","PSDB","FEMININO","SUPERIOR COMPLETO"
"270380","PSB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270140","PSDB","FEMININO","SUPERIOR INCOMPLETO"
"160021","PROS","MASCULINO","SUPERIOR COMPLETO"
"270530","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270760","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270880","PP","MASCULINO","SUPERIOR COMPLETO"
"270420","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"270800","PMDB","MASCULINO","SUPERIOR COMPLETO"
"130270","PSD","MASCULINO","SUPERIOR COMPLETO"
"270350","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"270670","PDT","MASCULINO","SUPERIOR COMPLETO"
"270190","PMN","FEMININO","ENSINO MÉDIO COMPLETO"
"270050","PSDB","FEMININO","ENSINO MÉDIO COMPLETO"
"270690","PSDB","MASCULINO","SUPERIOR COMPLETO"
"270170","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270150","PRB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"270440","PMDB","FEMININO","ENSINO MÉDIO COMPLETO"
"270850","PMDB","FEMININO","SUPERIOR COMPLETO"
"270780","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"270930","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270110","PSDB","MASCULINO","SUPERIOR INCOMPLETO"
"270010","PSDB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"270580","PT","MASCULINO","SUPERIOR INCOMPLETO"
"270210","PSDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"130200","PROS","FEMININO","SUPERIOR COMPLETO"
"270240","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"270390","PMDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"270650","PSD","FEMININO","ENSINO MÉDIO COMPLETO"
"270570","PR","MASCULINO","SUPERIOR COMPLETO"
"270660","PMDB","MASCULINO","SUPERIOR COMPLETO"
"270200","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"270600","PSD","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"270320","PMDB","FEMININO","SUPERIOR INCOMPLETO"
"270120","PMDB","MASCULINO","SUPERIOR INCOMPLETO"
"270490","PMDB","FEMININO","SUPERIOR COMPLETO"
"270940","PDT","MASCULINO","SUPERIOR COMPLETO"
"270770","PP","MASCULINO","SUPERIOR COMPLETO"
"270790","PRB","MASCULINO","SUPERIOR COMPLETO"
"270410","PP","FEMININO","SUPERIOR COMPLETO"
"270220","PMDB","FEMININO","SUPERIOR COMPLETO"
"290620","PR","MASCULINO","SUPERIOR INCOMPLETO"
"270310","PMDB","MASCULINO","SUPERIOR COMPLETO"
"130420","PMN","MASCULINO","SUPERIOR COMPLETO"
"130426","PMN","MASCULINO","ENSINO MÉDIO COMPLETO"
"160050","PSDB","FEMININO","ENSINO MÉDIO COMPLETO"
"160060","PSDC","MASCULINO","SUPERIOR COMPLETO"
"160080","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"292770","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"130140","PROS","MASCULINO","SUPERIOR INCOMPLETO"
"130040","PSB","MASCULINO","SUPERIOR COMPLETO"
"130115","PSD","MASCULINO","LÊ E ESCREVE"
"130063","PMDB","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO"
"130255","PMDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"292150","PSC","MASCULINO","SUPERIOR COMPLETO"
"130260","PSDB","MASCULINO","SUPERIOR COMPLETO"
"130195","DEM","MASCULINO","SUPERIOR COMPLETO"
"130410","PMDB","MASCULINO","SUPERIOR INCOMPLETO"
"130130","PSD","MASCULINO","SUPERIOR COMPLETO"
"130068","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"130280","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"290150","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"292290","PSC","MASCULINO","SUPERIOR COMPLETO"
"290960","PSC","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"130406","PSD","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"291380","PMDB","FEMININO","SUPERIOR COMPLETO"
"130006","PMDB","MASCULINO","SUPERIOR COMPLETO"
"130310","PMDB","MASCULINO","SUPERIOR COMPLETO"
"130240","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"130350","PMDB","FEMININO","SUPERIOR COMPLETO"
"130353","PDT","MASCULINO","SUPERIOR INCOMPLETO"
"130110","PROS","MASCULINO","ENSINO MÉDIO COMPLETO"
"292750","PT","MASCULINO","SUPERIOR COMPLETO"
"291060","PRB","MASCULINO","SUPERIOR COMPLETO"
"130390","PROS","MASCULINO","ENSINO MÉDIO COMPLETO"
"130290","PROS","MASCULINO","SUPERIOR COMPLETO"
"130230","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"130010","PMDB","MASCULINO","SUPERIOR COMPLETO"
"130380","PT","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"130083","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"130250","PROS","MASCULINO","ENSINO MÉDIO COMPLETO"
"130360","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"130050","PMDB","MASCULINO","SUPERIOR INCOMPLETO"
"290280","PTB","MASCULINO","SUPERIOR COMPLETO"
"130400","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"130440","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"290440","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"130070","PSDB","MASCULINO","SUPERIOR COMPLETO"
"130430","PMDB","MASCULINO","SUPERIOR COMPLETO"
"130395","PMDB","MASCULINO","SUPERIOR COMPLETO"
"130120","PP","MASCULINO","SUPERIOR INCOMPLETO"
"130090","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"130190","PT","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"130170","PROS","MASCULINO","SUPERIOR COMPLETO"
"130330","PSD","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"291460","PSB","MASCULINO","SUPERIOR COMPLETO"
"130300","PROS","MASCULINO","ENSINO MÉDIO COMPLETO"
"130160","PMDB","MASCULINO","SUPERIOR COMPLETO"
"130320","PSDB","MASCULINO","SUPERIOR INCOMPLETO"
"130060","PR","MASCULINO","SUPERIOR INCOMPLETO"
"290360","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"130080","SD","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"130100","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"130423","PP","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"130220","PMDB","MASCULINO","SUPERIOR COMPLETO"
"130014","DEM","MASCULINO","SUPERIOR COMPLETO"
"130150","PROS","MASCULINO","SUPERIOR COMPLETO"
"130210","PMDB","FEMININO","ENSINO MÉDIO COMPLETO"
"130340","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"130008","PMDB","MASCULINO","SUPERIOR INCOMPLETO"
"130030","PROS","MASCULINO","SUPERIOR COMPLETO"
"130370","PSD","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"130356","PROS","MASCULINO","SUPERIOR INCOMPLETO"
"130002","PROS","MASCULINO","SUPERIOR COMPLETO"
"291760","PP","MASCULINO","SUPERIOR COMPLETO"
"130180","PSDB","FEMININO","ENSINO MÉDIO COMPLETO"
"292570","PSD","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"290515","PC do B","MASCULINO","ENSINO MÉDIO COMPLETO"
"292310","PP","MASCULINO","LÊ E ESCREVE"
"290230","PMDB","MASCULINO","SUPERIOR COMPLETO"
"291900","PSD","MASCULINO","SUPERIOR COMPLETO"
"292340","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"292410","PSD","MASCULINO","SUPERIOR COMPLETO"
"130165","PR","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"292850","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"130185","DEM","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"130020","PDT","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"292930","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"291855","PSD","MASCULINO","SUPERIOR COMPLETO"
"291530","PMDB","FEMININO","ENSINO MÉDIO COMPLETO"
"290780","PP","MASCULINO","SUPERIOR COMPLETO"
"290480","PR","FEMININO","ENSINO MÉDIO COMPLETO"
"293060","PC do B","MASCULINO","ENSINO MÉDIO COMPLETO"
"293325","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"292630","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"292090","PRB","MASCULINO","ENSINO MÉDIO COMPLETO"
"290630","PPS","MASCULINO","SUPERIOR COMPLETO"
"292935","PSL","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"291510","PPS","MASCULINO","SUPERIOR COMPLETO"
"293200","PC do B","MASCULINO","SUPERIOR COMPLETO"
"292360","PSB","MASCULINO","SUPERIOR COMPLETO"
"291290","PSD","FEMININO","SUPERIOR COMPLETO"
"291490","PT","MASCULINO","SUPERIOR COMPLETO"
"290560","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"292265","PSL","MASCULINO","SUPERIOR COMPLETO"
"292205","PSB","MASCULINO","SUPERIOR COMPLETO"
"291590","PSL","FEMININO","ENSINO MÉDIO COMPLETO"
"290850","PRB","FEMININO","SUPERIOR COMPLETO"
"290370","DEM","MASCULINO","SUPERIOR COMPLETO"
"293330","PMDB","MASCULINO","SUPERIOR COMPLETO"
"290650","PP","MASCULINO","SUPERIOR COMPLETO"
"293315","PSL","MASCULINO","ENSINO MÉDIO COMPLETO"
"292100","PSDB","MASCULINO","SUPERIOR COMPLETO"
"292120","PT","MASCULINO","SUPERIOR COMPLETO"
"291190","PPS","MASCULINO","ENSINO MÉDIO COMPLETO"
"292260","PP","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"291120","PP","MASCULINO","SUPERIOR COMPLETO"
"292050","PDT","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"290190","DEM","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"290330","PMDB","FEMININO","ENSINO MÉDIO COMPLETO"
"292470","PTB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"291050","PDT","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"291000","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"290120","PDT","FEMININO","SUPERIOR COMPLETO"
"292805","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"291600","PMDB","FEMININO","SUPERIOR COMPLETO"
"290327","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"290460","PSB","MASCULINO","SUPERIOR COMPLETO"
"290140","DEM","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"293135","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"291220","PTB","MASCULINO","ENSINO MÉDIO COMPLETO"
"293210","SD","MASCULINO","SUPERIOR COMPLETO"
"291940","PC do B","MASCULINO","SUPERIOR COMPLETO"
"290685","PC do B","MASCULINO","SUPERIOR COMPLETO"
"292230","PRB","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"292975","PT do B","FEMININO","ENSINO MÉDIO COMPLETO"
"292920","PP","MASCULINO","SUPERIOR COMPLETO"
"290135","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"291350","PSD","MASCULINO","SUPERIOR COMPLETO"
"292590","PR","MASCULINO","ENSINO MÉDIO COMPLETO"
"292670","DEM","MASCULINO","SUPERIOR COMPLETO"
"291140","PP","MASCULINO","SUPERIOR COMPLETO"
"292550","PP","FEMININO","SUPERIOR COMPLETO"
"290110","PRB","MASCULINO","SUPERIOR COMPLETO"
"292400","PSD","MASCULINO","SUPERIOR COMPLETO"
"293100","DEM","MASCULINO","SUPERIOR COMPLETO"
"291520","DEM","MASCULINO","SUPERIOR COMPLETO"
"291860","PMDB","MASCULINO","SUPERIOR COMPLETO"
"292960","PPS","MASCULINO","SUPERIOR COMPLETO"
"293010","PT","MASCULINO","SUPERIOR INCOMPLETO"
"290940","PP","FEMININO","SUPERIOR COMPLETO"
"292530","PSD","FEMININO","ENSINO MÉDIO COMPLETO"
"290390","PSD","MASCULINO","SUPERIOR INCOMPLETO"
"290580","PT","FEMININO","SUPERIOR COMPLETO"
"291990","PSL","MASCULINO","SUPERIOR COMPLETO"
"293190","PSD","MASCULINO","SUPERIOR COMPLETO"
"292860","DEM","MASCULINO","SUPERIOR INCOMPLETO"
"292467","PR","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"290300","PMDB","MASCULINO","SUPERIOR COMPLETO"
"291810","PP","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"292740","DEM","MASCULINO","SUPERIOR COMPLETO"
"292105","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"292510","PTB","MASCULINO","SUPERIOR COMPLETO"
"290470","PSDB","MASCULINO","SUPERIOR COMPLETO"
"292720","PSD","MASCULINO","SUPERIOR COMPLETO"
"291125","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"292520","PSDB","MASCULINO","SUPERIOR COMPLETO"
"291670","PSB","MASCULINO","SUPERIOR COMPLETO"
"291345","PSB","MASCULINO","SUPERIOR INCOMPLETO"
"291740","PSD","MASCULINO","SUPERIOR COMPLETO"
"291970","PMDB","MASCULINO","SUPERIOR COMPLETO"
"292540","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"291170","PSB","MASCULINO","SUPERIOR COMPLETO"
"291072","PSD","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"292303","PP","MASCULINO","SUPERIOR COMPLETO"
"292700","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"292730","PSD","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"291085","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"292080","PTB","MASCULINO","ENSINO MÉDIO COMPLETO"
"292600","PSD","MASCULINO","SUPERIOR COMPLETO"
"292070","PP","FEMININO","ENSINO MÉDIO COMPLETO"
"292610","PSC","MASCULINO","SUPERIOR COMPLETO"
"291020","PT","MASCULINO","SUPERIOR COMPLETO"
"292225","PP","MASCULINO","SUPERIOR COMPLETO"
"292575","PMDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"292170","PR","MASCULINO","SUPERIOR COMPLETO"
"293230","PSL","FEMININO","SUPERIOR COMPLETO"
"291070","PDT","MASCULINO","SUPERIOR COMPLETO"
"292560","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"291915","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"292250","DEM","FEMININO","ENSINO MÉDIO COMPLETO"
"291992","DEM","MASCULINO","SUPERIOR COMPLETO"
"293070","PMDB","MASCULINO","SUPERIOR INCOMPLETO"
"290680","PR","MASCULINO","SUPERIOR INCOMPLETO"
"292937","PV","MASCULINO","ENSINO MÉDIO COMPLETO"
"292020","PMDB","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"292950","PSD","MASCULINO","SUPERIOR COMPLETO"
"290450","PT","MASCULINO","SUPERIOR COMPLETO"
"291995","PT","MASCULINO","SUPERIOR COMPLETO"
"290950","PSD","FEMININO","SUPERIOR COMPLETO"
"292820","PP","MASCULINO","SUPERIOR INCOMPLETO"
"290405","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"290340","PTN","MASCULINO","ENSINO MÉDIO COMPLETO"
"291410","PP","MASCULINO","SUPERIOR COMPLETO"
"291870","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"292790","PT","MASCULINO","SUPERIOR COMPLETO"
"291390","PP","FEMININO","ENSINO MÉDIO COMPLETO"
"290540","PSD","MASCULINO","SUPERIOR INCOMPLETO"
"291790","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"291630","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"291320","PT","MASCULINO","SUPERIOR COMPLETO"
"292305","PP","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"293050","PMDB","MASCULINO","SUPERIOR COMPLETO"
"292640","PSD","MASCULINO","SUPERIOR COMPLETO"
"291750","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"290690","PMDB","MASCULINO","SUPERIOR COMPLETO"
"292240","PMDB","MASCULINO","SUPERIOR COMPLETO"
"290600","PSD","FEMININO","SUPERIOR COMPLETO"
"290730","PSDB","MASCULINO","SUPERIOR COMPLETO"
"290920","PMDB","MASCULINO","SUPERIOR INCOMPLETO"
"292045","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"290400","PTB","MASCULINO","ENSINO MÉDIO COMPLETO"
"292130","PP","MASCULINO","SUPERIOR COMPLETO"
"291640","PMDB","MASCULINO","SUPERIOR COMPLETO"
"292405","DEM","MASCULINO","SUPERIOR COMPLETO"
"290430","REDE","MASCULINO","SUPERIOR COMPLETO"
"293080","PTN","MASCULINO","SUPERIOR COMPLETO"
"291420","PSD","MASCULINO","SUPERIOR COMPLETO"
"291300","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"292900","PMDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"290610","PR","FEMININO","SUPERIOR COMPLETO"
"290080","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"291130","PDT","MASCULINO","SUPERIOR COMPLETO"
"290720","PSB","MASCULINO","ENSINO MÉDIO COMPLETO"
"293305","PMDB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"290290","PSDB","MASCULINO","SUPERIOR COMPLETO"
"291835","PT","MASCULINO","SUPERIOR COMPLETO"
"290860","PMDB","MASCULINO","SUPERIOR COMPLETO"
"291960","PMDB","FEMININO","SUPERIOR COMPLETO"
"291685","PSD","MASCULINO","SUPERIOR COMPLETO"
"292335","PMDB","MASCULINO","LÊ E ESCREVE"
"293130","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"291660","PSB","MASCULINO","ENSINO FUNDAMENTAL COMPLETO"
"292840","PP","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"293280","PSL","MASCULINO","SUPERIOR COMPLETO"
"293110","PTN","MASCULINO","ENSINO MÉDIO COMPLETO"
"290210","PDT","MASCULINO","SUPERIOR COMPLETO"
"292460","PMDB","MASCULINO","SUPERIOR COMPLETO"
"291470","PSB","MASCULINO","SUPERIOR COMPLETO"
"292320","PSB","MASCULINO","ENSINO MÉDIO COMPLETO"
"291690","PRB","FEMININO","SUPERIOR COMPLETO"
"291930","PSD","FEMININO","SUPERIOR COMPLETO"
"293075","PDT","MASCULINO","LÊ E ESCREVE"
"292710","PC do B","MASCULINO","ENSINO MÉDIO COMPLETO"
"292270","PMDB","MASCULINO","SUPERIOR COMPLETO"
"293020","PSD","FEMININO","ENSINO MÉDIO COMPLETO"
"292500","PP","MASCULINO","ENSINO MÉDIO COMPLETO"
"292680","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"292380","PV","MASCULINO","ENSINO MÉDIO COMPLETO"
"290020","PT","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"291535","PSD","MASCULINO","ENSINO MÉDIO INCOMPLETO"
"291610","PDT","FEMININO","SUPERIOR COMPLETO"
"291080","DEM","MASCULINO","SUPERIOR COMPLETO"
"292895","PMDB","MASCULINO","SUPERIOR COMPLETO"
"293260","PP","MASCULINO","SUPERIOR COMPLETO"
"291500","PT","MASCULINO","SUPERIOR COMPLETO"
"292870","PSD","MASCULINO","SUPERIOR COMPLETO"
"290740","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"291250","PDT","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"293240","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"290700","PTN","FEMININO","SUPERIOR COMPLETO"
"292285","PT","FEMININO","SUPERIOR COMPLETO"
"291845","PSD","FEMININO","SUPERIOR COMPLETO"
"291430","DEM","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO"
"290820","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"291950","REDE","MASCULINO","ENSINO MÉDIO COMPLETO"
"290550","PDT","MASCULINO","ENSINO MÉDIO COMPLETO"
"291310","PSD","MASCULINO","ENSINO MÉDIO COMPLETO"
"291980","PT","MASCULINO","ENSINO MÉDIO COMPLETO"
"291200","PSDB","MASCULINO","ENSINO MÉDIO COMPLETO"
"290900","PSD","MASCULINO","SUPERIOR COMPLETO"
"291230","PSD","MASCULINO","SUPERIOR COMPLETO"
"290520","PSB","MASCULINO","SUPERIOR COMPLETO"
"291340","PTN","MASCULINO","SUPERIOR COMPLETO"
"292190","PSD","MASCULINO","SUPERIOR INCOMPLETO"
"291550","PSD","MASCULINO","SUPERIOR INCOMPLETO"
"291180","PSD","FEMININO","SUPERIOR COMPLETO"
"291005","PT","FEMININO","ENSINO MÉDIO COMPLETO"
"291330","PHS","MASCULINO","SUPERIOR COMPLETO"
"292000","DEM","MASCULINO","ENSINO MÉDIO COMPLETO"
"290790","PT","MASCULINO","SUPERIOR COMPLETO"
"291560","PSDB","MASCULINO","SUPERIOR COMPLETO"
"290220","PMDB","MASCULINO","SUPERIOR COMPLETO"
